,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Scientific_Name,Common_Name
24075,33857,DPW Maintained,Lophostemon confertus :: Brisbane Box,757 Pennsylvania Ave,1.0,Sidewalk: Curb side : Cutout,Private,2/12/97 0:00,13,,37.7566471,-122.392914,Lophostemon confertus ,Brisbane Box
24080,29442,DPW Maintained,Lophostemon confertus :: Brisbane Box,2225 Ingalls St,1.0,Sidewalk: Curb side : Cutout,DPW,5/22/12 0:00,3,2x2,37.72515149,-122.3874443,Lophostemon confertus ,Brisbane Box
24082,133531,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,222 Walnut St,1.0,Sidewalk: Curb side : Cutout,Private,,9,Width 3ft,37.78931332,-122.4488567,Platanus x hispanica ,Sycamore: London Plane
24084,14818,DPW Maintained,Pittosporum undulatum :: Victorian Box,1234 McAllister St,4.0,Sidewalk: Curb side : Cutout,DPW,,12,4X4,37.77861444,-122.4323408,Pittosporum undulatum ,Victorian Box
24096,22206,DPW Maintained,Lophostemon confertus :: Brisbane Box,4195X 03rd St,1.0,Sidewalk: Curb side : Cutout,DPW,,6,3x3,37.73952255,-122.388919,Lophostemon confertus ,Brisbane Box
24098,235336,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3215 Cesar Chavez St,10.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.74812681,-122.4140517,Platanus x hispanica ,Sycamore: London Plane
24100,15027,DPW Maintained,Lophostemon confertus :: Brisbane Box,885 Mendell St,2.0,Sidewalk: Curb side : Cutout,DPW,12/15/98 0:00,6,3x3,37.73760907,-122.3874548,Lophostemon confertus ,Brisbane Box
24101,217568,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,4050 19th Ave,4.0,Sidewalk: Curb side : Cutout,Private,,19,Width 0ft,37.71487569,-122.4702546,Metrosideros excelsa ,New Zealand Xmas Tree
24104,113198,Undocumented,Lophostemon confertus :: Brisbane Box,3225 26TH ST,1.0,Sidewalk: Curb side : Cutout,Private,,12,3x3,37.74914971,-122.4143416,Lophostemon confertus ,Brisbane Box
24105,213158,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,735 Holloway Ave,3.0,Sidewalk: Curb side : Cutout,Private,,9,Width 4ft,37.72178411,-122.4609446,Metrosideros excelsa ,New Zealand Xmas Tree
